text,category,category_1
I want to get my car serviced,car_service,0
maintainance,car_service,0
Oil change,car_service,0
Break change,car_service,0
car maintainance,car_service,0
need to get service for my car,car_service,0
need car service,car_service,0
regulat service and maintainance for my car,car_service,0
periodic car maintainance,car_service,0
I want to get my car serviced,car_service,0
need to get service for my car,car_service,0
need car service,car_service,0
regulat service and maintainance for my car,car_service,0
periodic car maintainance,car_service,0
periodic car maintainance,car_service,0
information of maintainance cost,car_service,0
cost of oil change,car_service,0
oil change,car_service,0
periodic service,car_service,0
maitainance service,car_service,0
periodic service maintainance,car_service,0
information related to servicing,car_service,0
service,car_service,0
servicing,car_service,0
service car,car_service,0
servicing car,car_service,0
car servicing,car_service,0
I want to get my car serviced,car_service,0
need to get service for my car,car_service,0
need car service,car_service,0
regulat service and maintainance for my car,car_service,0
periodic car maintainance,car_service,0
car service,car_service,0
service of car,car_service,0
periodic maintainance,car_service,0
car servicing,car_service,0
need info related to car service,car_service,0
I want to get my car serviced,car_service,0
can you help me with the car service query,car_service,0
periodic car maintainance,car_service,0
information of maintainance cost,car_service,0
cost of oil change,car_service,0
oil change,car_service,0
periodic service,car_service,0
maitainance service,car_service,0
periodic service maintainance,car_service,0
information related to servicing,car_service,0
service,car_service,0
servicing,car_service,0
service car,car_service,0
servicing car,car_service,0
car servicing,car_service,0
roadside assistance,road_assistance,1
need road side assitance,road_assistance,1
my car broke down,road_assistance,1
need help with roadside assistance,road_assistance,1
roadside assistance,road_assistance,1
need road side assitance,road_assistance,1
my car broke down,road_assistance,1
need help with roadside assistance,road_assistance,1
roadside assistance,road_assistance,1
need road side assitance,road_assistance,1
my car broke down,road_assistance,1
need help with roadside assistance,road_assistance,1
my car broke down need help,road_assistance,1
need help with my car towing,road_assistance,1
my car stopped working in the outskirts of city,road_assistance,1
roadside assistance,road_assistance,1
road side assistance,road_assistance,1
road side assistance,road_assistance,1
road side assistance,road_assistance,1
assistance road,road_assistance,1
road side,road_assistance,1
roadside,road_assistance,1
seide road,road_assistance,1
road assistence,road_assistance,1
need roadside help,road_assistance,1
help roadside,road_assistance,1
help road side,road_assistance,1
need help with road side ,road_assistance,1
towing,road_assistance,1
car broke down,road_assistance,1
broke down road side,road_assistance,1
need assistence with car towing,road_assistance,1
road side assistance,road_assistance,1
road side assistance,road_assistance,1
assistance road,road_assistance,1
road side,road_assistance,1
roadside,road_assistance,1
seide road,road_assistance,1
road assistence,road_assistance,1
need roadside help,road_assistance,1
help roadside,road_assistance,1
help road side,road_assistance,1
need help with road side ,road_assistance,1
towing,road_assistance,1
car broke down,road_assistance,1
broke down road side,road_assistance,1
need assistence with car towing,road_assistance,1
rent,book_car,2
book,book_car,2
renting,book_car,2
booking,book_car,2
renting cars,book_car,2
need car on rent,book_car,2
car for rent,book_car,2
rent out,book_car,2
rent out car,book_car,2
renting out cars,book_car,2
information on car renting,book_car,2
book a car for holiday,book_car,2
holiday car,book_car,2
need car for 4 days for holiday,book_car,2
renting cars,book_car,2
want to rent for four days,book_car,2
rent car for a week,book_car,2
how to rent,book_car,2
how renting works,book_car,2
how can I book a car on rent,book_car,2
I need a car,book_car,2
can I get a car here for a week,book_car,2
need a car,book_car,2
need a suv for a week,book_car,2
want to rent out a hatchback,book_car,2
rent out,book_car,2
rentout,book_car,2
rent car,book_car,2
car rent,book_car,2
car renting,book_car,2
hire,book_car,2
hire,book_car,2
hireing,book_car,2
hiring,book_car,2
hireing cars,book_car,2
need car on hire,book_car,2
car for hire,book_car,2
hire out,book_car,2
hire out car,book_car,2
hireing out cars,book_car,2
information on car hireing,book_car,2
hire a car for holiday,book_car,2
holiday car,book_car,2
need car for 4 days for holiday,book_car,2
hireing cars,book_car,2
want to hire for four days,book_car,2
hire car for a week,book_car,2
how to hire,book_car,2
how hireing works,book_car,2
how can I hire a car on hire,book_car,2
I need a car,book_car,2
can I get a car here for a week,book_car,2
need a car,book_car,2
need a suv for a week,book_car,2
want to hire out a hatchback,book_car,2
hire out,book_car,2
hireout,book_car,2
hire car,book_car,2
car hire,book_car,2
car hireing,book_car,2
need to book a car for holiday,book_car,2
need to rent a car for 5 days,book_car,2
how do I book a casr for rent,book_car,2
rent a car,book_car,2
here to rent a car,book_car,2
need to book a car for holiday,book_car,2
need to rent a car for 5 days,book_car,2
how do I book a casr for rent,book_car,2
rent a car,book_car,2
here to rent a car,book_car,2
rent,book_car,2
book,book_car,2
renting,book_car,2
booking,book_car,2
renting cars,book_car,2
need car on rent,book_car,2
car for rent,book_car,2
rent out,book_car,2
rent out car,book_car,2
renting out cars,book_car,2
information on car renting,book_car,2
book a car for holiday,book_car,2
holiday car,book_car,2
need car for 4 days for holiday,book_car,2
renting cars,book_car,2
want to rent for four days,book_car,2
rent car for a week,book_car,2
how to rent,book_car,2
how renting works,book_car,2
how can I book a car on rent,book_car,2
I need a car,book_car,2
can I get a car here for a week,book_car,2
need a car,book_car,2
need a suv for a week,book_car,2
want to rent out a hatchback,book_car,2
rent out,book_car,2
rentout,book_car,2
rent car,book_car,2
car rent,book_car,2
car renting,book_car,2
hire,book_car,2
hire,book_car,2
hireing,book_car,2
hiring,book_car,2
hireing cars,book_car,2
need car on hire,book_car,2
car for hire,book_car,2
hire out,book_car,2
hire out car,book_car,2
hireing out cars,book_car,2
information on car hireing,book_car,2
hire a car for holiday,book_car,2
holiday car,book_car,2
need car for 4 days for holiday,book_car,2
hireing cars,book_car,2
want to hire for four days,book_car,2
hire car for a week,book_car,2
how to hire,book_car,2
how hireing works,book_car,2
how can I hire a car on hire,book_car,2
I need a car,book_car,2
can I get a car here for a week,book_car,2
need a car,book_car,2
